acronym,co2e_mt_calculated,finishdateactual,primaryprojecttype,projectsiteaddress,projectsitename,projectstatus,startdateactual,subtype
DOE,121.52,,Lighting System Upgrade,370 Marcy Avenue,14K380 - 370 Marcy Avenue,Install,21-Sep-12,Retrofit
DOE,93.57,15-Dec-11,Lighting System Upgrade,325 Bushwick Avenue,14K147 - 325 Bushwick Avenue,Completed,04-Jan-11,Retrofit
DOE,88.18,15-Dec-11,Lighting System Upgrade,108 Montrose Avenue,14K250 - 108 Montrose Avenue,Completed,19-Jan-11,Retrofit
DOE,153.36,20-Dec-11,Lighting System Upgrade,985 Rockaway Ave,23K275 - 985 Rockaway Avenue,Completed,11-Mar-11,Retrofit
DOE,39.64,,Lighting System Upgrade,560 Theriot Avenue,X069 - P.S. The New Vision School,Install,14-Aug-12,Retrofit
DOE,37.05,,Lighting System Upgrade,5301 20th Avenue,K121 - P.S. 121 Nelson A. Rockefeller,Install,14-Aug-12,Retrofit
DOE,54.44,,Lighting System Upgrade,31 New York Avenue,K093 - P.S. 093 William H. Prescott,Install,15-Aug-12,Retrofit
DOE,40.52,,Lighting System Upgrade,1077 Remsen Avenue,K114 - P.S. 114 Ryder Elementary,Install,14-Aug-12,Retrofit
DOE,93.69,,Comprehensive,411 Thatford Avenue,K041 - P.S. 041 Francis White,Install,16-Aug-12,Retrofit
DOE,,10-Jun-10,,411 East 76th Street,M855  M416 - Eleanor Roosevelt High School,Completed,12-May-10,O&M
DOE,23.32,,HVAC System Upgrade,345 Dean Street,Brooklyn High School of the Arts,Install,14-Jun-12,Retrofit
DOE,23.32,01-Sep-10,Energy Audit,345 Dean Street,Brooklyn High School of the Arts,Completed,18-Mar-10,None
DOE,,,Other,345 Dean Street,Brooklyn High School of the Arts,Survey,,Retro-commissioning
DOE,860.45,,Comprehensive,850 Baychester Ave,Co-op City Educational Campus,Design,,Retrofit
DOE,1042.82,02-Mar-11,Energy Audit,850 Baychester Ave,Co-op City Educational Campus,Completed,,None
DOE,,,Other,650-850 Baychester,"Co-op City (PS 153,178,180,181,455)",Survey,,Retro-commissioning
DOE,112.08,,Comprehensive,456 White Road,P.S 174X Eugene T. Maleska,Design,,Retrofit
DOE,112.08,01-Oct-10,Energy Audit,456 White Road,P.S 174X,Completed,17-Mar-10,None
DOE,,,Other,456 White Plains Road,Eugene T.Maleska Middle School,Survey,,Retro-commissioning
DOE,501.16,,Comprehensive,2055 Mapes Ave,Twin Parks Upper School,Design,01-Jul-11,Retrofit
DOE,137.68,07-Oct-10,Energy Audit,2055 Mapes Avenue,X129 Twin Parks Upper School,Completed,24-Mar-10,None
DOE,,,Other,2055 Mapes Ave,Twin Parks Upper School,Survey,,Retro-commissioning
DOE,106.04,16-Dec-10,Energy Audit,525 WEST 50TH STREET,Park West High School,Completed,16-Mar-10,None
DOE,68.25,14-Dec-11,Lighting System Upgrade,80 Underhill Ave,K009 - P.S. 9K Teunis G. Bergen School Lighting,Substantially Completed,01-Jul-11,Retrofit
DOE,2.62,,Comprehensive,80 Underhill Ave,PS 9K Teunis G. Bergen School,Design,,Retrofit
DOE,86.38,05-May-11,Energy Audit,80 Underhill Ave,K009 - PS 9K Teunis G. Bergen School,Completed,12-Oct-10,None
DOE,,,Other,80 Underhill Ave,PS 9K Teunis G. Bergen School,Survey,,Retro-commissioning
DOE,68.18,14-Dec-11,Lighting System Upgrade,142-30 Barcklay Ave.,John Bowne,Completed,12-Dec-11,Retrofit
DOE,1.50,,HVAC System Upgrade,142-30 Barcklay Ave.,John Bowne PS 20 Queens,Design,,Retrofit
DOE,291.94,19-May-11,Energy Audit,142-30 Barclay Ave,Q20 - PS 20Q John Bowne,Completed,07-Oct-10,None
DOE,,,Other,142-30 Barclay Ave,John Bowne,Survey,,Retro-commissioning
DOE,51.50,02-Jun-10,Energy Audit,58-01 136 Street,Q120 - PS 120Q,Completed,07-Oct-10,None
DOE,,,Other,58-01 136 Street,Q120 - PS 120Q,Survey,,Retro-commissioning
DOE,144.13,,Comprehensive,"46-02 47 Ave  Woodside, NY",PS 125Q - Thomas J. McCann,Design,,Retrofit
DOE,79.69,25-May-11,Energy Audit,46-02 47 Ave,Q125 - JHS 125Q Thom J. McCann Woodside,Completed,21-Oct-10,None
DOE,,,Other,46-02 47 Ave,Q125 - JHS 125Q Thom J. McCann Woodside,Proposed,,Retro-commissioning
DOE,,,Other,46-02 47 Ave,Q125 - JHS 125Q Thom J. McCann Woodside,Survey,,Retro-commissioning
DOE,168.89,,Comprehensive,,,Design,,Retrofit
DOE,147.70,03-Jun-11,Energy Audit,350 Linwook St,K302 - IS 302K Rafael Cordero Middle School,Completed,13-Oct-10,None
,,,Other,,,Proposed,,Retro-commissioning
DOE,,,Other,350 Linwook St,K302 - IS 302K Rafael Cordero Middle School,Survey,,Retro-commissioning
DOE,62.16,14-Jul-11,Energy Audit,270 West 70 Street,M199 - PS 199M Jessie Isador Straus,Completed,26-Oct-10,None
DOE,,,Other,270 West 70 Street,M199 - PS 199M Jessie Isador Straus,Survey,,Retro-commissioning
DOE,295.13,,Comprehensive,424 Leonard St,K126 - John Ericson Junior High School,Design,,Retrofit
DOE,,31-May-11,Energy Audit,424 Leonard Street,K126 John Ericsson JHS,Completed,12-Oct-10,None
DOE,,,Other,424 Leonard Street,K126 John Ericsson JHS,Proposed,,Retro-commissioning
DOE,,,Other,424 Leonard Street,K126 John Ericsson JHS,Survey,,Retro-commissioning
DOE,36.28,09-Jun-11,Energy Audit,99-01 34 Avenue,Q092 - PS 92Q,Completed,26-Oct-10,None
DOE,,,Other,99-01 34 Avenue,Q092 - PS 92Q,Survey,,Retro-commissioning
DOE,165.09,,Comprehensive,"2703 Webster Ave Bronx, NY 10458",Comprehensive Energy Audit at P.S. X-054,Design,,Retrofit
DOE,,,Energy Audit,2703 Webster Ave,X054 - IS 54,Completed,19-Oct-10,None
DOE,,,Other,2703 Webster Ave,P.S. / I.S. 54 (X054),Survey,,Retro-commissioning
DOE,7.40,27-May-11,Energy Audit,686 Linden Blvd,K135 - PS 135 Sheldon A. Brookner,Completed,13-Oct-10,None
DOE,,,Other,686 Linden Blvd,K135 - PS 135 Sheldon A. Brookner,Proposed,,Retro-commissioning
DOE,,,Other,686 Linden Blvd,K135 - PS 135 Sheldon A. Brookner,Survey,,Retro-commissioning
DOE,146.94,,Comprehensive,51 Saint Edwards St,Charles A. Dorsey PS 67,Design,,Retrofit
DOE,128.03,20-May-11,Energy Audit,51 Saint Edwards St,K067 - PS 67K Charles A. Dorsey School,Completed,28-Oct-10,None
DOE,,,Other,51 Saint Edwards St,Charles A. Dorsey PS 67,Survey,,Retro-commissioning
DOE,180.31,,Comprehensive,,,Design,,Retrofit
DOE,114.97,27-May-11,Energy Audit,250 West Houston St,M721 - PS 721 Manhattan Occupational Training Center,Completed,14-Oct-10,None
DOE,,,Other,250 West Houston Street,M721- Manhattan Occupational Training Center,Survey,,Retro-commissioning
DOE,335.91,,Comprehensive,715 Ocean Terrrace Staten Island NY,R080 - The Michael J. Petrides School,Design,10-Aug-11,Retrofit
DOE,0.00,27-May-11,Energy Audit,715 Ocean Terrrace Staten Island NY,R080 - The Michael J. Petrides School,Completed,14-Oct-10,None
DOE,,,Other,715 Ocean Terrrace,R080 - The Michael J. Petrides School,Survey,,Retro-commissioning
DOE,437.31,,Comprehensive,"557 Pennsylvania Ave  Brooklyn, NY",PS 13K - Roberto Clemente School,Design,,Retrofit
DOE,437.31,02-Jun-11,Energy Audit,557 Pennsylvania Ave,K013 PS 13K Roberto Clemente School,Completed,28-Oct-10,None
,,,Other,557 Pennsylvania Ave,Ko13-P.S. 13K Roberto Clemente School,Survey,,Retro-commissioning
DOE,379.34,,Comprehensive,"645 Main Street, Manhattan",PS 217 Roosevelt School,Design,,Retrofit
DOE,627.80,16-Mar-12,Energy Audit,645 Main Street,M217 - PS 217M,Completed,14-Oct-10,None
DOE,,,Other,645 Main Street,M217 - PS 217M Roosevelt School,Survey,,Retro-commissioning
DOE,,,Comprehensive,735 West End Avenue,PS 75M Emily Dickinson School,Design,,Retrofit
DOE,51.89,11-May-12,Energy Audit,735 West End Ave,PS 75M Emily Dickinson School,Completed,09-Feb-11,None
DOE,,,Other,735 West End Avenue,PS 75M Emily Dickinson School,Survey,,Retro-commissioning
DOE,361.17,,Comprehensive,4011 Monticello Avenue,P.S.68X The Bronx School,Design,,Retrofit
DOE,101.91,10-Nov-11,Energy Audit,4011 Monticello Avenue,PS 68X The Bronx School,Completed,03-Feb-11,None
DOE,,,Other,4011 Monticello Avenue,P.S.68X The Bronx School,Proposed,,Retro-commissioning
DOE,,,Other,4011 Monticello Avenue,P.S.68X The Bronx School,Survey,,Retro-commissioning
DOE,65.27,,Comprehensive,1400 Needham Avenue,P.S.78X Anne Hutchinson,Design,,Retrofit
DOE,65.27,28-Feb-12,Energy Audit,1400 Needham Ave,PS 78X Anne Hutchinso,Completed,02-Mar-11,None
DOE,,,Other,1400 Needham Avenue,P.S.78X Anne Hutchinson,Survey,,Retro-commissioning
DOE,125.56,,Comprehensive,3740 Baychester Avenue,P.S.111X Seton Falls School,Design,,Retrofit
DOE,269.10,13-Apr-12,Energy Audit,3740 Baychester Avenue,P.S.111X Seton Falls School,Completed,03-Mar-11,None
DOE,,,Other,3740 Baychester Avenue,P.S.111X Seton Falls School,Proposed,,Retro-commissioning
DOE,,,Other,3740 Baychester Avenue,P.S.111X Seton Falls School,Survey,,Retro-commissioning
DOE,31.68,,Comprehensive,1925 Schieffelin Avenue, P.S.112X The Bronxwood School,Design,,Retrofit
DOE,31.68,03-May-12,Energy Audit,1925 Schieffelin Avenue, P.S.112X The Bronxwood School,Completed,21-Apr-11,None
DOE,,,Other,1925 Schieffelin Avenue,P.S.112X The Bronxwood School,Survey,,Retro-commissioning
DOE,102.28,,Comprehensive,1111 Pugsley Avenue,J.H.S.125X Henry Hudson Middle School,Design,,Retrofit
DCAS,102.28,17-Apr-12,Energy Audit,1111 Pugsley Avenue,J.H.S.125X Henry Hudson Middle School,Completed,24-Feb-11,None
DOE,,,Other,1111 Pugsley Avenue,J.H.S.125X Henry Hudson Middle School,Proposed,,Retro-commissioning
DOE,,,Other,1111 Pugsley Avenue,J.H.S.125X Henry Hudson Middle School,Survey,,Retro-commissioning
DOE,38.28,,Comprehensive,1560 Purdy Avenue,J.H.S.127X The Castle Hill,Design,,Retrofit
DOE,38.28,17-Apr-12,Energy Audit,1560 Purdy Avenue,J.H.S.127X The Castle Hill,Completed,24-Feb-11,None
DOE,,,Other,1560 Purdy Avenue,J.H.S.127X The Castle Hill,Survey,,Retro-commissioning
DOE,95.10,,Comprehensive,885 Bolton Avenue,I.S.131X Albert Einstein,Design,,Retrofit
DOE,95.10,12-Apr-12,Energy Audit,885 Bolton Avenue,I.S.131X Albert Einstein,Completed,16-Feb-11,None
DOE,,,Other,885 Bolton Avenue,I.S.131X Albert Einstein,Survey,,Retro-commissioning
DOE,268.40,,Comprehensive,3750 Baychester Avenue,J.H.S.142X John Philip Sousa Middle School,Design,,Retrofit
DOE,254.33,03-Apr-12,Energy Audit,3750 Baychester Avenue,J.H.S.142X John Philip Sousa Middle School,Completed,03-Mar-11,None
DOE,,,Other,3750 Baychester Avenue,J.H.S.142X John Philip Sousa Middle School,Survey,,Retro-commissioning
DOE,64.16,,Comprehensive,4305 Fort Hamilton Parkway,P.S.131K,Design,,Retrofit
DOE,64.16,23-May-12,Energy Audit,4305 Fort Hamilton Parkway,P.S.131K,Completed,09-Feb-11,None
DOE,,,Other,4305 Fort Hamilton Parkway,P.S.131K,Survey,,Retro-commissioning
DOE,80.52,,Comprehensive,209 York Street,P.S.307K Daniel Hale Williams School,Design,,Retrofit
DOE,55.70,23-Nov-11,Energy Audit,209 York Street,P.S.307K Daniel Hale Williams School,Completed,03-Feb-11,None
DOE,,,Other,209 York Street,P.S.307K Daniel Hale Williams SchoolP.S.307K Daniel Hale Williams School,Survey,,Retro-commissioning
DOE,154.19,,Comprehensive,101 Walton Street, I.S.318K Eugenio Maria De Hostos School,Design,,Retrofit
DOE,345.38,12-Aug-11,Energy Audit,101 Walton Street, I.S.318K Eugenio Maria De Hostos School,Completed,08-Feb-11,None
DOE,,,Other,101 Walton Street, I.S.318K Eugenio Maria De Hostos School,Survey,,Retro-commissioning
DOE,29.34,,Comprehensive,147-36 26th Avenue,P.S.21Q Edward Hart School,Design,,Retrofit
DOE,29.34,15-May-12,Energy Audit,147-36 26th Avenue,P.S.21Q Edward Hart School,Completed,02-Mar-11,None
DOE,,,Other,147-36 26th Avenue,P.S.21Q Edward Hart School,Survey,,Retro-commissioning
DOE,229.15,,Comprehensive,144-39 Gravett Road,P.S.219Q Paul Klapper,Design,,Retrofit
DOE,204.58,04-Apr-12,Energy Audit,144-39 Gravett Road,P.S.219Q Paul Klapper,Completed,15-Feb-11,None
DOE,,,Other,144-39 Gravett Road,P.S.219Q Paul Klapper,Survey,,Retro-commissioning
DOE,170.25,,Comprehensive,88-15 182nd Street,I.S.238Q Susan B Anthony School,Design,,Retrofit
DOE,170.25,21-May-12,Energy Audit,88-15 182nd Street,I.S.238Q Susan B Anthony School,Completed,17-Feb-11,None
DOE,,,Other,88-15 182nd Street,I.S.238Q Susan B Anthony School,Survey,,Retro-commissioning
DOE,87.37,,Comprehensive,65 Court Street,DOE Offices,Design,,Retrofit
DOE,81.66,22-Nov-11,Energy Audit,65 Court Street,DOE Offices,Completed,17-Feb-11,None
DOE,,,Other,65 Court Street,DOE Offices,Survey,,Retro-commissioning
DOE,161.31,,Comprehensive,586 West 117th Street,Alexander Humboldt,Design,,Retrofit
DOE,0.00,13-Feb-12,Energy Audit,586 West 117th Street,Alexander Humboldt,Completed,10-Feb-11,None
DOE,,,Other,586 West 117th Street,Alexander Humboldt,Survey,,Retro-commissioning
DOE,73.31,,Comprehensive,1500 East 92 Street,P.S. 115 Daniel Mucatel School,Design,,Retrofit
DOE,73.31,,Energy Audit,"1500 E 92 Street Brooklyn, NY",The Daniel Muctatel School,Completed,,None
DOE,,,Other,1500 East 92 Street,P.S. 115 Daniel Mucatel School,Survey,,Retro-commissioning
DOE,,,Comprehensive,370 Fountain Avenue,J.H.S. 218 James P. Sinnott,Design,,Retrofit
,101.97,,Energy Audit,370 Fountain Avenue,J.H.S. 218 James P. Sinnott,Completed,,None
DOE,,,Other,370 Fountain Avenue,J.H.S. 218 James P. Sinnott,Survey,,Retro-commissioning
DOE,133.20,,Lighting System Upgrade,1023 New York Avenue,P.S. 181 Brooklyn,Design,,Retrofit
DOE,133.20,07-May-12,Energy Audit,1023 New York Avenue,P.S. 181 Brooklyn,Completed,06-Apr-11,None
DOE,,,Other,1023 New York Avenue,P.S. 181 Brooklyn,Survey,,Retro-commissioning
DOE,152.74,,Lighting System Upgrade,509 West 129th Street,J.H.S.43M,Design,,Retrofit
DOE,51.39,04-May-12,Energy Audit,509 West 129th St,JHS 43M,Completed,13-Apr-11,None
DOE,,,Other,509 West 129th Street,J.H.S.43M,Survey,,Retro-commissioning
DOE,,,Comprehensive,443 West 135 Street,A. Philip Randolph Campus High School,Design,,Retrofit
DOE,0.00,15-May-12,Energy Audit,443 West 135 Street,A. Philip Randolph Campus High School,Completed,10-Feb-11,None
DOE,,,Other,443 West 135 Street,A. Philip Randolph Campus High School,Survey,,Retro-commissioning
DOE,,,Comprehensive,511 7th Avenue,"P.S.10K Magnet School of Math, Science and Design Technology",Design,,Retrofit
DOE,97.50,03-May-12,Energy Audit,145 Stanton St,M025 Marta Valle Secondary School,Completed,19-Apr-11,None
DOE,53.91,17-May-12,Energy Audit,511 Seventh Ave,"PS 10K Magnet School of Math, Science and Design Technology",Completed,06-Apr-11,None
DOE,,,Other,511 7th Avenue,"P.S.10K Magnet School of Math, Science and Design Technology",Survey,,Retro-commissioning
DOE,75.09,,Comprehensive,70 Thompkins Avenue,I.S.33K Mark Hopkins Junior High School,Design,,Retrofit
DOE,75.09,10-Nov-11,Energy Audit,70 Thompkins Avenue,I.S.33K Mark Hopkins Junior High School,Completed,08-Feb-11,None
DOE,,,Other,70 Thompkins Avenue,I.S.33K Mark Hopkins Junior High School,Survey,,Retro-commissioning
DOE,90.78,,Comprehensive,990 Dekalb Avenue,P.S.81K Thaddeus Stevens School,Design,,Retrofit
DOE,79.84,09-Feb-12,Energy Audit,990 Dekalb Avenue,PS 81K Thaddeus Stevens School,Completed,07-Apr-11,None
DOE,,,Other,990 Dekalb Avenue,P.S.81K Thaddeus Stevens School,Survey,,Retro-commissioning
DOE,,,Lighting System Upgrade,4812 9th Avenue,J.H.S.220K John J. Pershing,Design,,Retrofit
DOE,48.90,14-Feb-12,Energy Audit,4812 9th Ave,K220 JHS 220K John J. Pershing,Completed,07-Apr-11,None
DOE,,,Other,4812 9th Avenue,J.H.S.220K John J. Pershing,Survey,,Retro-commissioning
DOE,,,Lighting System Upgrade,410 East 100th Street,Academy of Environmental Science Secondary HS / Renaissance School of the Arts,Design,,Retrofit
DOE,79.16,08-May-12,Energy Audit,410 East 100th Street,M099 Academy of Environmental Science Secondary Shool,Completed,14-Apr-11,None
,,,Other,410 East 100th Street,Academy of Environmental Science Secondary HS / Renaissance School of the Arts,Survey,,Retro-commissioning
DOE,87.93,,Lighting System Upgrade,111 Columbia Street,New Explorations into Science Technology and Math (NEST) High School,Design,,Retrofit
DOE,112.19,14-May-12,Energy Audit,111 Columbia St,M022 New Explorations into Science Technology and Math High School,Completed,19-Apr-11,None
DOE,,,Other,111 Columbia Street,New Explorations into Science Technology and Math (NEST) High School,Survey,,Retro-commissioning
DOE,0.00,,Lighting System Upgrade,2111 Crotona Avenue,P.S. 057 Crescent,Design,,Retrofit
DOE,44.22,14-May-12,Energy Audit,2111 Crotona Avenue,PS 057 Crescent,Completed,21-Apr-11,None
DOE,,,Other,2111 Crotona Avenue,P.S. 057 Crescent,Survey,,Retro-commissioning
DOE,145.35,,Lighting System Upgrade,1449 Shakespeare Avenue,P.S. 199X The Shakespeare School,Design,,Retrofit
DOE,84.79,17-May-12,Energy Audit,1449 Shakespeare Avenue,PS 199X The Shakespeare School,Completed,20-Apr-11,None
DOE,,,Other,1449 Shakespeare Avenue,P.S. 199X The Shakespeare School,Survey,,Retro-commissioning
DOE,223.80,,HVAC System Upgrade,760 Prospect Place,P.S. 138 Brooklyn,Design,,Retrofit
DOE,0.00,15-Jun-12,Energy Audit,801 Park Place,PS 138K Brooklyn,Completed,12-Apr-11,None
DOE,,,Other,760 Prospect Place,P.S. 138 Brooklyn,Survey,,Retro-commissioning
DOE,156.59,,Lighting System Upgrade,1300 Greene Avenue,J.H.S. 383 Philippa Schuyler,Design,,Retrofit
DOE,156.59,07-May-12,Energy Audit,1300 Greene Av,K383 JHS 383 Philippa Schuyler,Completed,12-Apr-11,None
DOE,,,Other,1300 Greene Avenue,J.H.S. 383 Philippa Schuyler,Survey,,Retro-commissioning
DOE,8.93,,Lighting System Upgrade,1075 Ocean View Avenue,The Eileen E. Zaglin,Design,,Retrofit
DOE,8.93,14-Feb-12,Energy Audit,1075 Oceanview,K225 The Eileen E. Zaglin,Completed,13-Apr-11,None
DOE,,,Other,1075 Ocean View Avenue,The Eileen E. Zaglin,Survey,,Retro-commissioning
DOE,,,Lighting System Upgrade,80 Maple Parkway,P.S. 044 Thomas C. Brown,Design,,Retrofit
DOE,68.44,08-May-12,Energy Audit,80 Maple Parkway,PS 044R Thomas C. Brown,Completed,27-Apr-11,None
DOE,,,Other,80 Maple Parkway,P.S. 044 Thomas C. Brown,Survey,,Retro-commissioning
DOE,96.31,,Lighting System Upgrade,145 Stanton Street,Marta Valle Secondary School,Design,,Retrofit
DOE,,,Other,145 Stanton Street,Marta Valle Secondary School,Survey,,Retro-commissioning
DOE,146.57,,Lighting System Upgrade,32 West 92 Street,P.S. 084 Lillian Weber,Design,,Retrofit
DOE,66.56,08-May-12,Energy Audit,32 West 92nd St,PS 084M Lillian Weber,Completed,14-Apr-11,None
DOE,,,Other,32 West 92 Street,P.S. 084 Lillian Weber,Survey,,Retro-commissioning
DOE,76.78,17-Apr-12,Energy Audit,965 Longwood Avenue,P.S.39X,Completed,16-Feb-11,None
,,,Other,965 Longwood Avenue,P.S.39X,Survey,,Retro-commissioning
DOE,495.79,,Comprehensive,37-02 47th Avenue,Queens Vocational and Technical High School,Design,,Retrofit
DOE,141.00,19-Apr-12,Energy Audit,37-02 47th Avenue,Queens Vocational and Technical High School,Completed,15-Feb-11,None
,,,Other,37-02 47th Avenue,Queens Vocational and Technical High School,Survey,,Retro-commissioning
DOE,29.57,04-Apr-12,Energy Audit,225 West 24th St,Fashion Industries High School,Completed,20-Apr-11,None
DOE,,,Other,225 West 24th St,M600 - Fashion Industries HS,Survey,,Retro-commissioning
DOE,,30-Jun-11,Other,475 West 155th Street,M028 - P.S. 028 Wright Brothers,Design,01-Apr-11,Retrofit
DOE,0.00,,Energy Audit,1600 Park Place,K191 Paul Robeson,In Progress,14-Aug-12,None
,,,Other,1600 Park Place,K191 Paul Robeson,Survey,,Retro-commissioning
DOE,,,Energy Audit,1037 East 54th Street,K 251 Paerdegat,In Progress,14-Aug-12,None
DOE,,,Other,1037 East 54th Street,K 251 Paerdegat,Survey,,Retro-commissioning
DOE,0.00,,Energy Audit,1070 East 83rd Street,K276 Louis Marshall,In Progress,18-Jul-12,None
DOE,,,Other,1070 East 83rd Street,K276 Louis Marshall,Survey,,Retro-commissioning
DOE,0.00,,Energy Audit,1076 East 104th Street,K279 - Herman Schreiber,In Progress,18-Jul-12,Retrofit
DOE,,,Other,1076 East 104th Street,K279 - Herman Schreiber,Survey,,Retro-commissioning
DOE,0.00,,Energy Audit,50 Navy Street,K287- Bailey K. Ashford,In Progress,21-Aug-12,None
DOE,0.00,10-Sep-12,Other,50 Navy Street,K287- Bailey K. Ashford,Survey,10-Aug-12,Retro-commissioning
DOE,0.00,,Energy Audit,180 Seventh Avenue,K321- William Penn,In Progress,21-Aug-12,None
DOE,,,Other,180 Seventh Avenue Brooklyn NY,Wm Penn ES,Survey,,Retro-commissioning
DOE,0.00,,Energy Audit,2929 West 30th Street,K329- Surfside,Survey,08-Aug-12,None
DOE,0.00,,Other,2929 West 30th Street,K329- Surfside,Survey,,Retro-commissioning
DOE,,,Energy Audit,257 North 6th Street,K650 - Harry Vanarsdale Vocational HS,In Progress,08-Aug-12,None
DOE,,,Other,257 North 6th Street,K650 - Harry Vanarsdale Vocational HS,Survey,,Retro-commissioning
DOE,,,Energy Audit,179 1st Avenue,M019- PS 019- Asher Levy,In Progress,,None
,,,Other,179 1st Avenue,M019- PS 019- Asher Levy,Survey,,Retro-commissioning
DOE,,,Energy Audit,475 West 155th Street,M028- PS 28- Wright Brothers,In Progress,,None
DOE,,,Energy Audit,103 W 107th Street,M054- JHS 054- Booker T. Washington,In Progress,,None
DOE,,,Energy Audit,54-25 Skillman Avenue,Q011- PS 011- Kathryn Phelan,In Progress,,None
DOE,,,Energy Audit,85-15 258th Street,Q191 Mayflower,In Progress,,None
DOE,,,Energy Audit,75-25 Bell Blvd,Q205 - PS 205 Alexander Graham Bell,In Progress,,None
DOE,,,Energy Audit,190 Beach 110th Street,Q225 - PS 225 - Seaside School,In Progress,,None
DOE,0.00,,Energy Audit,55 Layton Avenue,R031 - PS 031 William T. Davis,In Progress,,None
DOE,0.00,,Energy Audit,55 Layton Avenue,R052 - PS 052 - John C. Thompson,In Progress,,None
DOE,0.00,,Energy Audit,2750 Lafayette Avenue,X101- MS X101- Edward R. Byrne,Completed,15-Aug-12,None
DOE,0.00,,Energy Audit,2750 Throop Avenue Bronx NY,X121- PS 121- Throop,In Progress,02-Aug-12,None
DOE,0.00,,Energy Audit,2441 Wallace Avenue Bronx NY,X135- IS 135,In Progress,02-Aug-12,None
DOE,0.00,,Energy Audit,240 2nd Avenue,M661,In Progress,09-Aug-12,Retrofit
DOHMH,,,Other,447 First Avenue,Public Health Lab,Survey,09-Aug-11,Retro-commissioning
DOHMH,51.79,21-Jun-12,Lighting System Upgrade,158 East 115th Street,East Harlem Health Care Center,Substantially Completed,26-Mar-12,Retrofit
DOHMH,,,Other,158 East 115th Street,East Harlem Health Care Center,Proposed,,Retro-commissioning
DOHMH,,,Other,158 East 115th Street,East Harlem Health Care Center,Survey,09-Aug-11,Retro-commissioning
DOHMH,45.96,,HVAC System Upgrade,1826 Arthur Avenue,Tremont Health Center - 1826 Arthur Avenue,Completed,,Retrofit
DOHMH,28.02,,HVAC System Upgrade,2238 Fifth Avenue,Central Harlem Health Center - 2238 5th Avenue,Cancelled,,Retrofit
DSNY,234.06,02-Jun-09,Lighting System Upgrade,"105-02 AVENUE   BROOKLYN DIST 17/18 GAR, 105-09 Avenue D",Brooklyn District 17/18 Garage,Completed,05-Sep-08,Retrofit
DSNY,119.18,02-Jun-09,Lighting System Upgrade,"807 EAST 175TH STREET, 800 East 176th Street",Bronx East 6 Garage,Completed,17-Sep-08,Retrofit
DSNY,501.40,12-May-10,Lighting System Upgrade,75-05 WINCHESTER BLVD  DIST 11/13 GARAGE,"Q 11/13A, Q 7,Q 13",Completed,15-Jun-09,Retrofit
DSNY,151.64,13-May-10,Lighting System Upgrade,1635 East 233rd St. Bronx NY,Bronx 12 District Garage,Completed,24-Jul-09,Retrofit
DSNY,22.22,13-May-10,Lighting System Upgrade,680  East 132nd Street,3A,Completed,24-Jul-09,Retrofit
DSNY,23.85,13-May-10,Lighting System Upgrade,1331 Cromwell Ave,Bx 5 District Garage,Completed,24-Jul-09,Retrofit
DSNY,366.78,07-Jan-10,Lighting System Upgrade,640 West 26th Street,26th Street Repair Garage,Completed,25-Jun-09,Retrofit
DSNY,,,Other,640 West 26th Street,26th Street Repair Garage,Survey,,Retro-commissioning
DSNY,108.41,12-May-10,Lighting System Upgrade,5100 1st Ave,"Bklyn 8, Bklyn 7/10 District Garages",Substantially Completed,26-Jun-09,Retrofit
DSNY,44.39,12-May-10,Lighting System Upgrade,"1760 Atlantic Ave, 1755 Pacific Street","Bklyn 8, Bklyn 7/10 District Garages",Completed,26-Jun-09,Retrofit
DSNY,104.80,28-Sep-11,Lighting System Upgrade, 539 Jersey St.,Staten Island 1,Completed,31-May-11,Retrofit
DSNY,123.92,28-Sep-11,Lighting System Upgrade,2500 RICHMOND AVENUE     STATEN ISLAND, Staten Island 2 District Garages,Completed,31-May-11,Retrofit
DSNY,19.30,,Lighting System Upgrade,800-850 Zerega Avenue,Bx-11 - 800 Zerega Avenue,Install,,Retrofit
DSNY,30.86,,HVAC System Upgrade,52-07 58th Street,Queens North Borough Repair Shop - 52-07 58th Street,Install,02-Jul-12,Retrofit
DSNY,73.00,,Lighting System Upgrade,58-02 48th Street,Q5 - 48-01 58th Road,Install,16-May-12,Retrofit
DSNY,15.64,,Lighting System Upgrade,58-01 48th Street Queens NY 11378,48-01 58th Road Queens NY  11378,Install,,Retrofit
DSNY,150.44,,HVAC System Upgrade,58-73 53rd Avenue,Betts Avenue Boiler Room - 57-73 53rd Avenue,Substantially Completed,14-May-12,Retrofit
DSNY,148.09,26-Apr-11,HVAC System Upgrade,106-01 Avenue D,Cioffe Borough Shop - 106-01 Avenue D,Completed,15-Nov-10,Retrofit
DSNY,147.02,10-Jun-10,HVAC System Upgrade,640 West 26th St,Manhattan Borough Repair Shop,Completed,11-May-10,Retrofit
DSNY,714.85,30-Jun-12,HVAC System Upgrade,640 West 26th St.,Manhattan Borough Repair Shop,Substantially Completed,12-Mar-12,Retrofit
DSNY,103.74,11-Feb-11,Lighting System Upgrade,44 Beaver Street,44 Beaver Street,Completed,03-Dec-10,Retrofit
DSNY,22.52,22-Feb-12,Other,1397 Ralph Avenue,Brooklyn South 14 - Photovoltaic,Substantially Completed,31-Oct-11,Photovoltaic
