acronym,co2e_mt_calculated,finishdateactual,primaryprojecttype,projectsiteaddress,projectsitename,projectstatus,startdateactual,subtype
DCLA,,,Other,131 West 55th Street,City Center,Survey,09-Aug-11,Retro-commissioning
DCLA,23.30,,Lighting System Upgrade,137-35 Northern Blvd,Flushing Town Hall - 137-35 Northern Blvd,Cancelled,,Retrofit
DCLA,,,Comprehensive,161-04 Jamaica Avenue,Jamaica Center for Arts,Cancelled,01-Jan-12,Retrofit
DCLA,,,Other,18 First Place,Museum Of Jewish Heritage,Survey,,Retrofit
,,,Other,36 Battery Place,Museum Of Jewish Heritage,Survey,,Retro-commissioning
DCLA,,05-Sep-12,Lighting System Upgrade,1000 Fifth Avenue,Metropolitan Museum of Art,Substantially Completed,17-Aug-11,Retrofit
DCLA,,,Other,1000 Fifth Avenue,Metropolitan Museum of Art,Survey,,Retro-commissioning
DCLA,,,HVAC System Upgrade,1000 Fifth Avenue,Metropolitan Museum of Art,Install,20-Sep-10,Retrofit
DCLA,291.41,30-Apr-11,Lighting System Upgrade,1000 Fifth Avenue Manhattan,Metropolitan Museum,Completed,01-Apr-11,Retrofit
DCLA,219.89,,Lighting System Upgrade,"Boardwalk @ West 8th Street, 502 Surf Ave",New York Aquarium - 502 Surf Avenue,Design,,Retrofit
DCLA,69.95,22-Sep-09,Lighting System Upgrade,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, 2667 Dr. Theodore Kazimiroff Boulevard",NYBG - Library Complex,Completed,28-Apr-09,Retrofit
DCLA,8.70,26-Jun-09,HVAC System Upgrade,2740 Dr. Theodore Kazimiroff Blvd,NYBG - Haupt Conservatory,Completed,28-Apr-09,Retrofit
DCLA,,,Other,2740 Dr. Theodore Kazimiroff Blvd,Haupt Conservatory,Survey,,Retro-commissioning
DCLA,0.00,,HVAC System Upgrade,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, Southern Boulevard at 200th Street",NYBG - Watson Library Complex,Design,,Retrofit
DCLA,,,Other,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, Southern Boulevard at 200th Street",NYBG - Watson Library Complex,Survey,,Retro-commissioning
DCLA,7.89,29-Jun-09,HVAC System Upgrade,"2800 Southern Blvd Visitor's Center, 2667 Dr. Theodore Kazimiroff Blvd",NYBG - Operations Building,Completed,28-Apr-09,Retrofit
DCLA,0.57,26-Jun-06,Lighting System Upgrade,"2800 Southern Blvd, 2670 Thoedore Kazimiroff Blvd",NYBG - Tool Shed,Completed,28-Apr-09,Retrofit
DCLA,98.31,,Lighting System Upgrade,47-00 111th Street,New York Hall Of Science - 47-01 111th Street,Design,,Retrofit
DCLA,,,HVAC System Upgrade,1000 Richmond Terrace,Snug Harbor,Design,01-Feb-11,Retrofit
DCLA,187.80,,Comprehensive,75 Stuyvesant Place,Staten Island Museum - 75 Stuyvesant Place,Design,,Retrofit
DCLA,40.43,,Lighting System Upgrade,"144 West 125th Street  NY, NY  10027",Studio Museum of Harlem,Design,,Retrofit
DCLA,53.29,,Lighting System Upgrade,"144 West 125th Street  NY, NY  10027",Studio Museum In Harlem - 144 West 125th Street,Design,,Retrofit
DCLA,134.65,,Lighting System Upgrade,"144 West 125th Street  NY, NY  10027",Studio Museum In Harlem - 144 West 125th Street,Design,,Retrofit
DCAS,265.82,23-Nov-11,Energy Audit,144 Wesst 125th Street,Studio Museum in Harlem,Completed,19-Oct-10,None
