address,borough,latitude,longitude,park_site_name,site_type
Hyatt Ave,Staten Island,40.642302999999998,-74.076549,Staten Island Ferry Terminal,Outdoor 
Hylan Blvd,Staten Island,40.505646,-74.235477,Tottenville Pool,Indoor
Delafield Pl & Bard Ave,Staten Island,40.643799,-74.108845,Walker Park,Outdoor 
Davis Ave & Livingston Ct,Staten Island,40.642843,-74.11032,Walker Park,Outdoor 
Delafield Pl & Davis Ave,Staten Island,40.643449,-74.11046,Walker Park,Outdoor 
Livingston Ct & bard Ave ,Staten Island,40.643343,-74.108641,Walker Park,Outdoor 
899 Henderson Ave ,Staten Island,40.637121,-74.119287,West Brighton Pool,Indoor
Willowbrook Park,Staten Island,40.603832,-74.158697,Willowbrook Park,Outdoor 
Willowbrook Park,Staten Island,40.603828,-74.16125,Willowbrook Park,Outdoor 
Wolfe's Pond,Staten Island,40.517368,-74.190913,Wolfe's Pond,Outdoor 
Wolfe's Pond,Staten Island,40.518652000000003,-74.187309999999997,Wolfe's Pond,Outdoor 
