bbl,bin,block_lot,borough,census_tract,cnadrprf_addrline1,cnadrprf_addrline2,cnadrprf_city,cnadrprf_state,cnadrprf_zip,cnbio_org_name,community_board,council_district,latitude,longitude,nta,primary,secondary
1000530003,1001045,53-3,MANHATTAN,13,103 Washington Street,,New York,NY,10006,Moran's,1,1,40.708458,-74.01428,Battery Park City-Lower Manhattan                                          ,Full Service Dining,F-American
1000530033,1001051,53-33,MANHATTAN,13,110 Greenwich Street,,New York,NY,10006,Trinity Boxing Club NYC,1,1,40.70856,-74.013349,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Athletic Clubs/Fitness
1000530035,1001052,53-35,MANHATTAN,13,108 Greenwich Street,,New York,NY,10006,Caracello Ristorante,1,1,40.708499,-74.013374,Battery Park City-Lower Manhattan                                          ,Full Service Dining,F-Italian
1000530036,1001053,53-36,MANHATTAN,13,106 Greenwich Street,,New York,NY,10006,Rector Dry Cleaners,1,1,40.708442,-74.0134,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Dry Cleaning
1000530036,1001053,53-36,MANHATTAN,13,106 Greenwich Street,,New York,NY,10006,Subway,1,1,40.708442,-74.0134,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Fast Food
1000530038,1001055,53-38,MANHATTAN,13,100 Greenwich Street,,New York,NY,10006,Thunder Lingerie,1,1,40.708263,-74.013475,Battery Park City-Lower Manhattan                                          ,Shopping,S-Adult Novelties
1000530038,1001055,53-38,MANHATTAN,13,98 Greenwich Street,,New York,NY,10006,Joe's Gourmet,1,1,40.708203,-74.013501,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Deli
1000530039,1001056,53-39,MANHATTAN,13,96 Greenwich Street,,New York,NY,10006,Pussycat Lounge,1,1,40.708142,-74.013526,Battery Park City-Lower Manhattan                                          ,Nightlife,N-Adult Entertainment
1000530040,1001057,53-40,MANHATTAN,13,94 1/2 Greenwich Street,,New York,NY,10006,Cordato's,1,1,40.708085,-74.013551,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Deli
1000530041,1001058,53-41,MANHATTAN,13,94 Greenwich Street,,New York,NY,10006,Cafe Bravo,1,1,40.708085,-74.013551,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Deli
1000530006,1001047,53-6,MANHATTAN,13,109 Washington Street,,New York,NY,10006,Budtharasa Thai Food,1,1,40.708623,-74.014218,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Thai
,,55-16,,,New York Marriot Financial Center Hotel,85 West Street,New York,NY,10006,85 West Sports Bar & Grill,,,,,,Full Service Dining,F-Restaurant & Bar
1000550016,1001061,55-16,MANHATTAN,13,85 West Street,New York Marriott World Financial Center,New York,NY,10006,Gift Shop,1,1,40.709646,-74.014875,Battery Park City-Lower Manhattan                                          ,Shopping,"S-Gifts, Cards & Stationery"
1000627501,1001068,62-1,MANHATTAN,13,1 Church Street,,New York,NY,10006,Brooks Brothers,1,1,40.709787,-74.011596,Battery Park City-Lower Manhattan                                          ,Shopping,S-Apparel: Men's & Women's
1000630001,1078966,63-1,MANHATTAN,13,10 Cortlandt Street,,New York,NY,10007,Century 21 Department Stores,1,1,40.710028,-74.01046,Battery Park City-Lower Manhattan                                          ,Shopping,S-Shoes: Men's
1000630012,1001071,63-12,MANHATTAN,13,7 Dey Street,Suite 401,New York,NY,10007,Joseph Tailor Shop,1,1,40.710624,-74.009955,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Tailoring
1000630012,1001071,63-12,MANHATTAN,13,5 Dey Street,,New York,NY,10007,Arome,1,1,40.71058,-74.009862,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Deli
1000630015,1001073,63-15,MANHATTAN,13,187 Broadway,,New York,NY,10007,Payless Shoesource,1,1,40.71021,-74.009656,Battery Park City-Lower Manhattan                                          ,Shopping,S-Shoes: Men's & Women's
1000630016,1001074,63-16,MANHATTAN,13,183 Broadway,,New York,NY,10007,Pylones,1,1,40.710119,-74.009735,Battery Park City-Lower Manhattan                                          ,Shopping,"S-Gifts, Cards & Stationery"
1000630017,1001075,63-17,MANHATTAN,13,181 Broadway,4th Floor,New York,NY,10007,Tropp Printing Corp.,1,1,40.710072,-74.009775,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Copy and Printing Services
1000630017,1001075,63-17,MANHATTAN,13,181 Broadway,2nd Floor,New York,NY,10007,V.I.P. Men's Suits,1,1,40.710072,-74.009775,Battery Park City-Lower Manhattan                                          ,Shopping,S-Apparel: Men's
1000630017,1001075,63-17,MANHATTAN,13,181 Broadway,,New York,NY,10007,Hallmark Gold Crown,1,1,40.710072,-74.009775,Battery Park City-Lower Manhattan                                          ,Shopping,"S-Gifts, Cards & Stationery"
1000630020,1001078,63-20,MANHATTAN,13,175 Broadway,,New York,NY,10007,Century 21 Department Stores - Ladies Shoes,1,1,40.709935,-74.00989,Battery Park City-Lower Manhattan                                          ,Shopping,S-Shoes: Women's
1000630021,1001079,63-21,MANHATTAN,13,2 Cortlandt Street,2nd Floor,New York,NY,10007,TSC Training Academy,1,1,40.709897,-74.010168,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Other
1000630021,1001079,63-21,MANHATTAN,13,173 Broadway,,New York,NY,10007,Bento Nouveau Sushi,1,1,40.709888,-74.00993,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Japanese
1000630021,1001079,63-21,MANHATTAN,13,4 Cortlandt Street,,New York,NY,10007,Michal Golan,1,1,40.70993,-74.01024,Battery Park City-Lower Manhattan                                          ,Shopping,S-Jeweler
1000630021,1001079,63-21,MANHATTAN,13,6 Cortlandt Street,,New York,NY,10007,Cortlandt News,1,1,40.709962,-74.010316,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Newsstands
1000630021,1001079,63-21,MANHATTAN,13,2 Cortlandt Street,,New York,NY,10006,Olga's Salon Spa,1,1,40.709897,-74.010168,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Spa
1000630021,1001079,63-21,MANHATTAN,13,2 Cortlandt Street,,New York,NY,10007,Dunkin Donuts,1,1,40.709897,-74.010168,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Fast Food
1000630021,1001079,63-21,MANHATTAN,13,8 Cortlandt Street,,New York,NY,10007,Majestic Pizza,1,1,40.709995,-74.010388,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Pizza
1000630021,1001079,63-21,MANHATTAN,13,2A Cortlandt Street,,New York,NY,10007,21 Jewelry,1,1,40.709897,-74.010168,Battery Park City-Lower Manhattan                                          ,Shopping,S-Jeweler
1000630003,1001069,63-3,MANHATTAN,13,22 Cortlandt Street,,New York,NY,10007,Century 21 Department Stores,1,1,40.710223,-74.010897,Battery Park City-Lower Manhattan                                          ,Shopping,S-Apparel: Men's & Women's
1000640001,1079033,64-1,MANHATTAN,1502,20 Maiden Lane,,New York,NY,10038,Federal Cafe,1,1,40.709252,-74.0091,Battery Park City-Lower Manhattan                                          ,Full Service Dining,F-Italian
1000640012,1001087,64-12,MANHATTAN,1502,150 Broadway,,New York,NY,10038,Sephora,1,1,40.70932,-74.010392,Battery Park City-Lower Manhattan                                          ,Shopping,S-Beauty & Fragrances
1000640012,1001087,64-12,MANHATTAN,1502,150 Broadway,,New York,NY,10038,Bank of America,1,1,40.70932,-74.010392,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Banks and Check Cashing
1000640012,1001087,64-12,MANHATTAN,1502,150 Broadway,,New York,NY,10038,Modell's,1,1,40.70932,-74.010392,Battery Park City-Lower Manhattan                                          ,Shopping,S-Sporting Goods & Athletic Wear
,,64-15,,,160 Broadway,Lobby,New York,NY,,Showroom Hair Salon,,,,,,Personal and Professional Services,P-Hair Salon & Barber Shop
1000640015,1079040,64-15,MANHATTAN,1502,160 Broadway,,New York,NY,10038,"Adcomp Systems, Inc.",1,1,40.709493,-74.01024,Battery Park City-Lower Manhattan                                          ,Shopping,S-Computers & Electronics
1000640015,1079040,64-15,MANHATTAN,1502,160 Broadway,,New York,NY,10038,McDonald's,1,1,40.709493,-74.01024,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Fast Food
1000640015,1079040,64-15,MANHATTAN,1502,160 Broadway,,New York,NY,10038,Broadway Kosher Cafe,1,1,40.709493,-74.01024,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Kosher
1000640015,1079037,64-15,MANHATTAN,1502,6 Maiden Lane,,New York,NY,10038,Maiden Lane Wine & Liquor,1,1,40.709661,-74.009688,Battery Park City-Lower Manhattan                                          ,Shopping,S-Liquor Store
,,64-16,,,170 Broadway,Suite 205,New York,NY,,DeNatale Jewelers,,,,,,Shopping,S-Jeweler
1000640016,1001088,64-16,MANHATTAN,1502,170 Broadway,,New York,NY,10038,T-Mobile,1,1,40.709669,-74.010092,Battery Park City-Lower Manhattan                                          ,Shopping,S-Cellular Phones
1000640016,1001088,64-16,MANHATTAN,1502,2 Maiden Lane,,New York,NY,10038,Cafe Exchange,1,1,40.709737,-74.009851,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Deli
