average_class_size,borough,core_course_ms_core_and_9_12_only_,core_subject_ms_core_and_9_12_only_,csd,data_source,grade_,number_of_sections,number_of_students_seats_filled,program_type,school_code,school_name,schoolwide_pupil_teacher_ratio,service_category_k_9_only_,size_of_largest_class,size_of_smallest_class
20.0,M,-,-,2,ATS,0K,1,20,G&T,M033,P.S. 033 Chelsea Prep,,-,20,20
15.7,M,-,-,2,ATS,01,3,47,GEN ED,M033,P.S. 033 Chelsea Prep,,-,17,14
15.0,M,-,-,2,ATS,01,1,15,G&T,M033,P.S. 033 Chelsea Prep,,-,15,15
23.0,M,-,-,2,ATS,02,1,23,GEN ED,M033,P.S. 033 Chelsea Prep,,-,23,23
22.0,M,-,-,2,ATS,02,1,22,CTT,M033,P.S. 033 Chelsea Prep,,-,22,22
23.5,M,-,-,2,ATS,03,2,47,GEN ED,M033,P.S. 033 Chelsea Prep,,-,24,23
18.0,M,-,-,2,ATS,04,2,36,GEN ED,M033,P.S. 033 Chelsea Prep,,-,18,18
24.0,M,-,-,2,ATS,05,2,48,GEN ED,M033,P.S. 033 Chelsea Prep,,-,25,23
5.5,M,-,-,2,ATS,0K-09,2,11,SPEC ED,M033,P.S. 033 Chelsea Prep,,12:1,9,2
7.0,M,-,-,2,ATS,0K-09,1,7,SPEC ED,M033,P.S. 033 Chelsea Prep,,12:1:1,7,7
,M,,,2,,,,,,M033,P.S. 033 Chelsea Prep,13.3,,,
23.0,M,-,-,2,ATS,0K,4,92,GEN ED,M040,P.S. 040 Augustus Saint-Gaudens,,-,24,21
25.0,M,-,-,2,ATS,0K,1,25,CTT,M040,P.S. 040 Augustus Saint-Gaudens,,-,25,25
25.0,M,-,-,2,ATS,01,3,75,GEN ED,M040,P.S. 040 Augustus Saint-Gaudens,,-,26,24
24.0,M,-,-,2,ATS,01,1,24,CTT,M040,P.S. 040 Augustus Saint-Gaudens,,-,24,24
20.0,M,-,-,2,ATS,02,3,60,GEN ED,M040,P.S. 040 Augustus Saint-Gaudens,,-,20,20
24.0,M,-,-,2,ATS,02,1,24,CTT,M040,P.S. 040 Augustus Saint-Gaudens,,-,24,24
29.0,M,-,-,2,ATS,03,2,58,GEN ED,M040,P.S. 040 Augustus Saint-Gaudens,,-,29,29
29.0,M,-,-,2,ATS,03,1,29,CTT,M040,P.S. 040 Augustus Saint-Gaudens,,-,29,29
24.5,M,-,-,2,ATS,04,2,49,GEN ED,M040,P.S. 040 Augustus Saint-Gaudens,,-,25,24
26.0,M,-,-,2,ATS,04,1,26,CTT,M040,P.S. 040 Augustus Saint-Gaudens,,-,26,26
26.5,M,-,-,2,ATS,05,2,53,GEN ED,M040,P.S. 040 Augustus Saint-Gaudens,,-,27,26
24.0,M,-,-,2,ATS,05,1,24,CTT,M040,P.S. 040 Augustus Saint-Gaudens,,-,24,24
11.0,M,-,-,2,ATS,0K-09,1,11,SPEC ED,M040,P.S. 040 Augustus Saint-Gaudens,,12:1,11,11
,M,,,2,,,,,,M040,P.S. 040 Augustus Saint-Gaudens,14.8,,,
22.2,M,-,-,2,ATS,0K,5,111,GEN ED,M041,P.S. 041 Greenwich Village,,-,23,21
25.0,M,-,-,2,ATS,0K,1,25,CTT,M041,P.S. 041 Greenwich Village,,-,25,25
25.4,M,-,-,2,ATS,01,5,127,GEN ED,M041,P.S. 041 Greenwich Village,,-,26,24
26.0,M,-,-,2,ATS,01,1,26,CTT,M041,P.S. 041 Greenwich Village,,-,26,26
24.3,M,-,-,2,ATS,02,4,97,GEN ED,M041,P.S. 041 Greenwich Village,,-,25,24
24.0,M,-,-,2,ATS,02,1,24,CTT,M041,P.S. 041 Greenwich Village,,-,24,24
23.0,M,-,-,2,ATS,03,4,92,GEN ED,M041,P.S. 041 Greenwich Village,,-,24,21
24.0,M,-,-,2,ATS,03,1,24,CTT,M041,P.S. 041 Greenwich Village,,-,24,24
30.0,M,-,-,2,ATS,04,3,90,GEN ED,M041,P.S. 041 Greenwich Village,,-,30,30
31.0,M,-,-,2,ATS,04,1,31,CTT,M041,P.S. 041 Greenwich Village,,-,31,31
27.0,M,-,-,2,ATS,05,3,81,GEN ED,M041,P.S. 041 Greenwich Village,,-,28,26
26.0,M,-,-,2,ATS,05,1,26,CTT,M041,P.S. 041 Greenwich Village,,-,26,26
,M,,,2,,,,,,M041,P.S. 041 Greenwich Village,14.2,,,
22.0,M,-,-,2,ATS,0K,5,110,GEN ED,M042,P.S. 042 Benjamin Altman,,-,24,20
22.0,M,-,-,2,ATS,0K,1,22,CTT,M042,P.S. 042 Benjamin Altman,,-,22,22
24.0,M,-,-,2,ATS,01,5,120,GEN ED,M042,P.S. 042 Benjamin Altman,,-,25,23
23.8,M,-,-,2,ATS,02,5,119,GEN ED,M042,P.S. 042 Benjamin Altman,,-,25,22
21.2,M,-,-,2,ATS,03,5,106,GEN ED,M042,P.S. 042 Benjamin Altman,,-,24,18
31.7,M,-,-,2,ATS,04,3,95,GEN ED,M042,P.S. 042 Benjamin Altman,,-,32,31
,K,,,21,,,,,,K253,P.S. 253,13.9,,,
32.0,M,-,-,2,ATS,05,3,96,GEN ED,M042,P.S. 042 Benjamin Altman,,-,32,32
10.0,M,-,-,2,ATS,0K-09,1,10,SPEC ED,M042,P.S. 042 Benjamin Altman,,12:1,10,10
,M,,,2,,,,,,M042,P.S. 042 Benjamin Altman,13.7,,,
16.0,M,English 9,ENGLISH,2,STARS,09-12,2,32,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,16,16
15.0,M,English 10,ENGLISH,2,STARS,09-12,2,30,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,19,11
13.0,M,English 11,ENGLISH,2,STARS,09-12,1,13,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,13,13
21.0,M,English 12,ENGLISH,2,STARS,09-12,1,21,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,21,21
15.0,M,Integrated Algebra,MATH,2,STARS,09-12,2,30,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,17,13
16.0,M,Geometry,MATH,2,STARS,09-12,2,32,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,17,15
13.0,M,Other Math,MATH,2,STARS,09-12,1,13,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,13,13
13.5,M,Earth Science,SCIENCE,2,STARS,09-12,2,27,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,17,10
16.0,M,Physics,SCIENCE,2,STARS,09-12,1,16,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,16,16
17.0,M,Other Science,SCIENCE,2,STARS,09-12,1,17,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,17,17
21.3,M,US History & Government,SOCIAL STUDIES,2,STARS,09-12,3,64,GEN ED,M047,47 The American Sign Language and English Secondary School,,-,22,21
14.0,M,English 9,ENGLISH,2,STARS,09-12,1,14,CTT,M047,47 The American Sign Language and English Secondary School,,-,14,14
17.0,M,English 11,ENGLISH,2,STARS,09-12,1,17,CTT,M047,47 The American Sign Language and English Secondary School,,-,17,17
18.0,M,Integrated Algebra,MATH,2,STARS,09-12,3,54,CTT,M047,47 The American Sign Language and English Secondary School,,-,21,16
22.0,M,Earth Science,SCIENCE,2,STARS,09-12,2,44,CTT,M047,47 The American Sign Language and English Secondary School,,-,24,20
18.0,M,Other Science,SCIENCE,2,STARS,09-12,2,36,CTT,M047,47 The American Sign Language and English Secondary School,,-,19,17
23.0,M,Global History & Geography,SOCIAL STUDIES,2,STARS,09-12,2,46,CTT,M047,47 The American Sign Language and English Secondary School,,-,23,23
18.5,M,US History & Government,SOCIAL STUDIES,2,STARS,09-12,2,37,CTT,M047,47 The American Sign Language and English Secondary School,,-,19,18
10.0,M,Integrated Algebra,MATH,2,STARS,09-12,1,10,SPEC ED,M047,47 The American Sign Language and English Secondary School,,-,10,10
10.0,M,Earth Science,SCIENCE,2,STARS,09-12,1,10,SPEC ED,M047,47 The American Sign Language and English Secondary School,,-,10,10
24.0,M,-,-,2,ATS,0K,1,24,GEN ED,M051,P.S. 051 Elias Howe,,-,24,24
25.0,M,-,-,2,ATS,0K,1,25,CTT,M051,P.S. 051 Elias Howe,,-,25,25
27.0,M,-,-,2,ATS,01,1,27,GEN ED,M051,P.S. 051 Elias Howe,,-,27,27
28.0,M,-,-,2,ATS,01,1,28,CTT,M051,P.S. 051 Elias Howe,,-,28,28
28.0,M,-,-,2,ATS,02,1,28,GEN ED,M051,P.S. 051 Elias Howe,,-,28,28
31.0,M,-,-,2,ATS,02,1,31,CTT,M051,P.S. 051 Elias Howe,,-,31,31
19.0,M,-,-,2,ATS,03,1,19,GEN ED,M051,P.S. 051 Elias Howe,,-,19,19
20.0,M,-,-,2,ATS,03,1,20,CTT,M051,P.S. 051 Elias Howe,,-,20,20
25.0,M,-,-,2,ATS,04,2,50,GEN ED,M051,P.S. 051 Elias Howe,,-,25,25
26.5,M,-,-,2,ATS,05,2,53,GEN ED,M051,P.S. 051 Elias Howe,,-,27,26
,M,,,2,,,,,,M051,P.S. 051 Elias Howe,11.2,,,
25.0,M,-,-,2,ATS,0K,3,75,GEN ED,M059,P.S. 059 Beekman Hill International,,-,25,25
24.0,M,-,-,2,ATS,0K,1,24,CTT,M059,P.S. 059 Beekman Hill International,,-,24,24
24.0,M,-,-,2,ATS,01,3,72,GEN ED,M059,P.S. 059 Beekman Hill International,,-,24,24
24.0,M,-,-,2,ATS,01,1,24,CTT,M059,P.S. 059 Beekman Hill International,,-,24,24
22.7,M,-,-,2,ATS,02,3,68,GEN ED,M059,P.S. 059 Beekman Hill International,,-,23,22
20.0,M,-,-,2,ATS,02,1,20,CTT,M059,P.S. 059 Beekman Hill International,,-,20,20
28.0,M,-,-,2,ATS,03,2,56,GEN ED,M059,P.S. 059 Beekman Hill International,,-,28,28
29.0,M,-,-,2,ATS,03,1,29,CTT,M059,P.S. 059 Beekman Hill International,,-,29,29
26.0,M,-,-,2,ATS,04,1,26,GEN ED,M059,P.S. 059 Beekman Hill International,,-,26,26
25.0,M,-,-,2,ATS,04,1,25,CTT,M059,P.S. 059 Beekman Hill International,,-,25,25
26.0,M,-,-,2,ATS,05,1,26,GEN ED,M059,P.S. 059 Beekman Hill International,,-,26,26
28.0,M,-,-,2,ATS,05,1,28,CTT,M059,P.S. 059 Beekman Hill International,,-,28,28
,M,,,2,,,,,,M059,P.S. 059 Beekman Hill International,13.7,,,
25.0,M,-,-,2,ATS,0K,2,50,G&T,M077,P.S. 77 Lower Lab School,,-,25,25
29.0,M,-,-,2,ATS,01,2,58,G&T,M077,P.S. 77 Lower Lab School,,-,29,29
28.0,M,-,-,2,ATS,02,2,56,G&T,M077,P.S. 77 Lower Lab School,,-,28,28
28.0,M,-,-,2,ATS,03,2,56,G&T,M077,P.S. 77 Lower Lab School,,-,28,28
28.0,M,-,-,2,ATS,04,2,56,G&T,M077,P.S. 77 Lower Lab School,,-,29,27
26.0,M,-,-,2,ATS,05,2,52,G&T,M077,P.S. 77 Lower Lab School,,-,26,26
9.0,M,-,-,2,ATS,0K-09,1,9,SPEC ED,M077,P.S. 77 Lower Lab School,,12:1,9,9
12.0,M,-,-,2,ATS,0K-09,1,12,SPEC ED,M077,P.S. 77 Lower Lab School,,12:1:1,12,12
,M,,,2,,,,,,M077,P.S. 77 Lower Lab School,17.6,,,
24.5,M,-,-,2,ATS,0K,2,49,GEN ED,M089,P.S. 89,,-,25,24
25.0,M,-,-,2,ATS,0K,1,25,CTT,M089,P.S. 89,,-,25,25
20.5,M,-,-,2,ATS,01,2,41,GEN ED,M089,P.S. 89,,-,21,20
20.0,M,-,-,2,ATS,01,1,20,CTT,M089,P.S. 89,,-,20,20
26.0,M,-,-,2,ATS,02,3,78,GEN ED,M089,P.S. 89,,-,27,25
26.0,M,-,-,2,ATS,02,1,26,CTT,M089,P.S. 89,,-,26,26
27.5,M,-,-,2,ATS,03,2,55,GEN ED,M089,P.S. 89,,-,28,27
25.0,M,-,-,2,ATS,03,1,25,CTT,M089,P.S. 89,,-,25,25
32.0,M,-,-,2,ATS,04,2,64,GEN ED,M089,P.S. 89,,-,32,32
32.0,M,-,-,2,ATS,04,1,32,CTT,M089,P.S. 89,,-,32,32
25.0,M,-,-,2,ATS,05,2,50,GEN ED,M089,P.S. 89,,-,25,25
23.0,M,-,-,2,ATS,05,1,23,CTT,M089,P.S. 89,,-,23,23
,M,,,2,,,,,,M089,P.S. 89,13.7,,,
27.0,M,-,-,2,ATS,06,10,270,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,30,23
27.0,M,-,-,2,ATS,06,2,54,CTT,M104,J.H.S. 104 Simon Baruch,,-,27,27
28.9,M,-,-,2,ATS,07,10,289,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,33,22
30.0,M,-,-,2,ATS,07,2,60,CTT,M104,J.H.S. 104 Simon Baruch,,-,32,28
30.1,M,-,-,2,ATS,08,8,241,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,34,21
25.0,M,-,-,2,ATS,08,2,50,CTT,M104,J.H.S. 104 Simon Baruch,,-,25,25
22.0,M,-,-,2,ATS,07,1,22,CTT,M422,Quest to Learn,,-,22,22
8.3,M,-,-,2,ATS,0K-09,3,25,SPEC ED,M104,J.H.S. 104 Simon Baruch,,12:1,10,7
26.9,M,MS English Core,ENGLISH,2,STARS,MS Core,28,753,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,34,13
26.2,M,MS Math Core,MATH,2,STARS,MS Core,28,734,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,33,13
34.0,M,Integrated Algebra,MATH,2,STARS,MS Core,2,68,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,34,34
26.2,M,MS Science Core,SCIENCE,2,STARS,MS Core,28,734,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,33,13
34.0,M,Earth Science,SCIENCE,2,STARS,MS Core,2,68,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,34,34
26.7,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,30,802,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,34,13
27.2,M,MS English Core,ENGLISH,2,STARS,MS Core,6,163,CTT,M104,J.H.S. 104 Simon Baruch,,-,32,24
27.2,M,MS Math Core,MATH,2,STARS,MS Core,6,163,CTT,M104,J.H.S. 104 Simon Baruch,,-,32,24
27.2,M,MS Science Core,SCIENCE,2,STARS,MS Core,6,163,CTT,M104,J.H.S. 104 Simon Baruch,,-,32,24
27.2,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,6,163,CTT,M104,J.H.S. 104 Simon Baruch,,-,32,24
10.0,M,MS English Core,ENGLISH,2,STARS,MS Core,1,10,SPEC ED,M104,J.H.S. 104 Simon Baruch,,-,10,10
10.0,M,MS Math Core,MATH,2,STARS,MS Core,1,10,SPEC ED,M104,J.H.S. 104 Simon Baruch,,-,10,10
10.0,M,MS Science Core,SCIENCE,2,STARS,MS Core,1,10,SPEC ED,M104,J.H.S. 104 Simon Baruch,,-,10,10
10.0,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,1,10,SPEC ED,M104,J.H.S. 104 Simon Baruch,,-,10,10
17.5,M,MS English Core,ENGLISH,2,STARS,09-12,4,70,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,20,13
25.0,M,Other English,ENGLISH,2,STARS,09-12,5,125,GEN ED,M104,J.H.S. 104 Simon Baruch,,-,33,17
18.0,M,MS English Core,ENGLISH,2,STARS,09-12,2,36,CTT,M104,J.H.S. 104 Simon Baruch,,-,26,10
28.0,M,Other English,ENGLISH,2,STARS,09-12,2,56,CTT,M104,J.H.S. 104 Simon Baruch,,-,33,23
,M,,,2,,,,,,M104,J.H.S. 104 Simon Baruch,15.6,,,
19.5,M,-,-,2,ATS,0K,2,39,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,20,19
19.0,M,-,-,2,ATS,0K,1,19,CTT,M111,P.S. 111 Adolph S. Ochs,,-,19,19
20.5,M,-,-,2,ATS,01,2,41,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,21,20
22.0,M,-,-,2,ATS,01,1,22,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,22
15.5,M,-,-,2,ATS,02,2,31,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,16,15
16.0,M,-,-,2,ATS,02,1,16,CTT,M111,P.S. 111 Adolph S. Ochs,,-,16,16
20.0,M,-,-,2,ATS,03,2,40,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,21,19
20.0,M,-,-,2,ATS,03,1,20,CTT,M111,P.S. 111 Adolph S. Ochs,,-,20,20
23.0,M,-,-,2,ATS,04,1,23,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,23,23
23.0,M,-,-,2,ATS,04,1,23,CTT,M111,P.S. 111 Adolph S. Ochs,,-,23,23
29.0,M,-,-,2,ATS,05,1,29,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,29,29
31.0,M,-,-,2,ATS,05,1,31,CTT,M111,P.S. 111 Adolph S. Ochs,,-,31,31
25.0,M,-,-,2,ATS,06,2,50,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,24
18.0,M,-,-,2,ATS,06,1,18,CTT,M111,P.S. 111 Adolph S. Ochs,,-,18,18
25.5,M,-,-,2,ATS,07,2,51,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,25
23.0,M,-,-,2,ATS,07,1,23,CTT,M111,P.S. 111 Adolph S. Ochs,,-,23,23
26.0,M,-,-,2,ATS,08,2,52,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,27,25
,Q,,,27,,,,,,Q051,P.S. 051,13.4,,,
22.0,M,-,-,2,ATS,08,1,22,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,22
11.0,M,-,-,2,ATS,0K-09,1,11,SPEC ED,M111,P.S. 111 Adolph S. Ochs,,12:1,11,11
24.8,M,MS English Core,ENGLISH,2,STARS,MS Core,6,149,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,24
24.8,M,MS Math Core,MATH,2,STARS,MS Core,6,149,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,24
24.8,M,MS Science Core,SCIENCE,2,STARS,MS Core,6,149,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,24
24.8,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,6,149,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,24
20.7,M,MS English Core,ENGLISH,2,STARS,MS Core,3,62,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,20
20.7,M,MS Math Core,MATH,2,STARS,MS Core,3,62,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,20
20.7,M,MS Science Core,SCIENCE,2,STARS,MS Core,3,62,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,20
20.7,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,3,62,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,20
,M,,,2,,,,,,M111,P.S. 111 Adolph S. Ochs,10.8,,,
30.0,M,-,-,2,ATS,06,4,120,GEN ED,M114,East Side Middle School,,-,32,29
27.0,M,-,-,2,ATS,06,2,54,CTT,M114,East Side Middle School,,-,27,27
33.7,M,-,-,2,ATS,07,3,101,GEN ED,M114,East Side Middle School,,-,34,33
29.0,M,-,-,2,ATS,07,1,29,CTT,M114,East Side Middle School,,-,29,29
33.7,M,-,-,2,ATS,08,3,101,GEN ED,M114,East Side Middle School,,-,34,33
31.0,M,-,-,2,ATS,08,1,31,CTT,M114,East Side Middle School,,-,31,31
31.6,M,MS English Core,ENGLISH,2,STARS,MS Core,5,158,GEN ED,M114,East Side Middle School,,-,34,29
24.8,M,MS Math Core,MATH,2,STARS,MS Core,13,323,GEN ED,M114,East Side Middle School,,-,34,16
32.2,M,MS Science Core,SCIENCE,2,STARS,MS Core,10,322,GEN ED,M114,East Side Middle School,,-,34,29
29.5,M,MS English Core,ENGLISH,2,STARS,MS Core,2,59,CTT,M114,East Side Middle School,,-,30,29
28.0,M,MS Math Core,MATH,2,STARS,MS Core,4,112,CTT,M114,East Side Middle School,,-,29,27
28.3,M,MS Science Core,SCIENCE,2,STARS,MS Core,4,113,CTT,M114,East Side Middle School,,-,30,27
,M,,,2,,,,,,M114,East Side Middle School,14.8,,,
21.6,M,-,-,2,ATS,0K,5,108,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,22,21
20.0,M,-,-,2,ATS,0K,1,20,CTT,M116,P.S. 116 Mary Lindley Murray,,-,20,20
20.2,M,-,-,2,ATS,01,5,101,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,21,20
24.0,M,-,-,2,ATS,01,1,24,CTT,M116,P.S. 116 Mary Lindley Murray,,-,24,24
28.3,M,-,-,2,ATS,02,4,113,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,30,25
28.0,M,-,-,2,ATS,02,1,28,CTT,M116,P.S. 116 Mary Lindley Murray,,-,28,28
28.8,M,-,-,2,ATS,03,4,115,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,30,27
25.0,M,-,-,2,ATS,03,1,25,CTT,M116,P.S. 116 Mary Lindley Murray,,-,25,25
25.0,M,-,-,2,ATS,04,4,100,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,26,24
25.0,M,-,-,2,ATS,04,1,25,CTT,M116,P.S. 116 Mary Lindley Murray,,-,25,25
22.8,M,-,-,2,ATS,05,4,91,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,26,20
24.0,M,-,-,2,ATS,05,1,24,CTT,M116,P.S. 116 Mary Lindley Murray,,-,24,24
6.0,M,-,-,2,ATS,0K-09,1,6,SPEC ED,M116,P.S. 116 Mary Lindley Murray,,12:1,6,6
,M,,,2,,,,,,M116,P.S. 116 Mary Lindley Murray,13.9,,,
24.8,M,-,-,2,ATS,0K,4,99,GEN ED,M124,P.S. 124 Yung Wing,,-,25,24
18.0,M,-,-,2,ATS,0K,1,18,CTT,M124,P.S. 124 Yung Wing,,-,18,18
24.0,M,-,-,2,ATS,0K,1,24,G&T,M124,P.S. 124 Yung Wing,,-,24,24
25.5,M,-,-,2,ATS,01,4,102,GEN ED,M124,P.S. 124 Yung Wing,,-,26,25
19.0,M,-,-,2,ATS,01,1,19,CTT,M124,P.S. 124 Yung Wing,,-,19,19
,M,,,5,,,,,,M129,P.S. 129 John H. Finley,12.9,,,
25.0,M,-,-,2,ATS,01,1,25,G&T,M124,P.S. 124 Yung Wing,,-,25,25
27.0,M,-,-,2,ATS,02,4,108,GEN ED,M124,P.S. 124 Yung Wing,,-,28,26
17.0,M,-,-,2,ATS,02,1,17,CTT,M124,P.S. 124 Yung Wing,,-,17,17
30.0,M,-,-,2,ATS,02,1,30,G&T,M124,P.S. 124 Yung Wing,,-,30,30
23.8,M,-,-,2,ATS,03,4,95,GEN ED,M124,P.S. 124 Yung Wing,,-,24,23
15.0,M,-,-,2,ATS,03,1,15,CTT,M124,P.S. 124 Yung Wing,,-,15,15
28.0,M,-,-,2,ATS,03,1,28,G&T,M124,P.S. 124 Yung Wing,,-,28,28
32.0,M,-,-,2,ATS,04,3,96,GEN ED,M124,P.S. 124 Yung Wing,,-,32,32
26.0,M,-,-,2,ATS,04,1,26,CTT,M124,P.S. 124 Yung Wing,,-,26,26
29.0,M,-,-,2,ATS,04,1,29,G&T,M124,P.S. 124 Yung Wing,,-,29,29
29.8,M,-,-,2,ATS,05,4,119,GEN ED,M124,P.S. 124 Yung Wing,,-,32,28
32.0,M,-,-,2,ATS,05,1,32,G&T,M124,P.S. 124 Yung Wing,,-,32,32
10.5,M,-,-,2,ATS,0K-09,2,21,SPEC ED,M124,P.S. 124 Yung Wing,,12:1:1,12,9
,M,,,2,,,,,,M124,P.S. 124 Yung Wing,14.1,,,
23.0,M,-,-,2,ATS,0K,2,46,GEN ED,M126,P.S. 126 Jacob August Riis,,-,24,22
20.0,M,-,-,2,ATS,0K,1,20,CTT,M126,P.S. 126 Jacob August Riis,,-,20,20
22.5,M,-,-,2,ATS,01,2,45,GEN ED,M126,P.S. 126 Jacob August Riis,,-,24,21
21.0,M,-,-,2,ATS,01,1,21,CTT,M126,P.S. 126 Jacob August Riis,,-,21,21
17.5,M,-,-,2,ATS,02,2,35,GEN ED,M126,P.S. 126 Jacob August Riis,,-,18,17
16.0,M,-,-,2,ATS,02,1,16,CTT,M126,P.S. 126 Jacob August Riis,,-,16,16
22.5,M,-,-,2,ATS,03,2,45,GEN ED,M126,P.S. 126 Jacob August Riis,,-,23,22
22.0,M,-,-,2,ATS,03,1,22,CTT,M126,P.S. 126 Jacob August Riis,,-,22,22
20.5,M,-,-,2,ATS,04,2,41,GEN ED,M126,P.S. 126 Jacob August Riis,,-,21,20
19.0,M,-,-,2,ATS,04,1,19,CTT,M126,P.S. 126 Jacob August Riis,,-,19,19
19.0,M,-,-,2,ATS,05,2,38,GEN ED,M126,P.S. 126 Jacob August Riis,,-,20,18
22.0,M,-,-,2,ATS,05,1,22,CTT,M126,P.S. 126 Jacob August Riis,,-,22,22
29.0,M,-,-,2,ATS,06,3,87,GEN ED,M126,P.S. 126 Jacob August Riis,,-,30,28
30.0,M,-,-,2,ATS,06,1,30,CTT,M126,P.S. 126 Jacob August Riis,,-,30,30
26.3,M,-,-,2,ATS,07,3,79,GEN ED,M126,P.S. 126 Jacob August Riis,,-,28,25
28.0,M,-,-,2,ATS,07,1,28,CTT,M126,P.S. 126 Jacob August Riis,,-,28,28
29.0,M,-,-,2,ATS,08,3,87,GEN ED,M126,P.S. 126 Jacob August Riis,,-,30,27
29.0,M,-,-,2,ATS,08,1,29,CTT,M126,P.S. 126 Jacob August Riis,,-,29,29
9.5,M,-,-,2,ATS,0K-09,2,19,SPEC ED,M126,P.S. 126 Jacob August Riis,,12:1,11,8
18.8,M,MS English Core,ENGLISH,2,STARS,MS Core,5,94,GEN ED,M126,P.S. 126 Jacob August Riis,,-,20,17
22.7,M,MS Math Core,MATH,2,STARS,MS Core,10,227,GEN ED,M126,P.S. 126 Jacob August Riis,,-,28,17
34.0,M,Integrated Algebra,MATH,2,STARS,MS Core,1,34,GEN ED,M126,P.S. 126 Jacob August Riis,,-,34,34
22.7,M,MS Science Core,SCIENCE,2,STARS,MS Core,10,227,GEN ED,M126,P.S. 126 Jacob August Riis,,-,28,17
34.0,M,Earth Science,SCIENCE,2,STARS,MS Core,1,34,GEN ED,M126,P.S. 126 Jacob August Riis,,-,34,34
23.7,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,11,261,GEN ED,M126,P.S. 126 Jacob August Riis,,-,30,17
23.0,M,MS English Core,ENGLISH,2,STARS,MS Core,1,23,CTT,M126,P.S. 126 Jacob August Riis,,-,23,23
26.3,M,MS Math Core,MATH,2,STARS,MS Core,3,79,CTT,M126,P.S. 126 Jacob August Riis,,-,28,23
26.3,M,MS Science Core,SCIENCE,2,STARS,MS Core,3,79,CTT,M126,P.S. 126 Jacob August Riis,,-,28,23
26.3,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,3,79,CTT,M126,P.S. 126 Jacob August Riis,,-,28,23
27.8,M,MS English Core,ENGLISH,2,STARS,09-12,6,167,GEN ED,M126,P.S. 126 Jacob August Riis,,-,30,25
27.8,M,Other English,ENGLISH,2,STARS,09-12,6,167,GEN ED,M126,P.S. 126 Jacob August Riis,,-,30,25
28.0,M,MS English Core,ENGLISH,2,STARS,09-12,2,56,CTT,M126,P.S. 126 Jacob August Riis,,-,28,28
28.0,M,Other English,ENGLISH,2,STARS,09-12,2,56,CTT,M126,P.S. 126 Jacob August Riis,,-,28,28
,M,,,2,,,,,,M126,P.S. 126 Jacob August Riis,12.3,,,
