average_class_size,borough,core_course_ms_core_and_9_12_only_,core_subject_ms_core_and_9_12_only_,csd,data_source,grade_,number_of_sections,number_of_students_seats_filled,program_type,school_code,school_name,schoolwide_pupil_teacher_ratio,service_category_k_9_only_,size_of_largest_class,size_of_smallest_class
15.0,M,Math A,MATH,1,STARS,09-12,1,15,GEN ED,M458,Forsyth Satellite Academy,,-,15,15
22.0,M,Participation in Government,SOCIAL STUDIES,1,STARS,09-12,1,22,GEN ED,M458,Forsyth Satellite Academy,,-,22,22
,M,,,1,,,,,,M458,Forsyth Satellite Academy,16.4,,,
22.3,M,English 9,ENGLISH,1,STARS,09-12,3,67,GEN ED,M509,Marta Valle High School,,-,27,13
20.3,M,English 10,ENGLISH,1,STARS,09-12,3,61,GEN ED,M509,Marta Valle High School,,-,27,17
25.5,M,English 11,ENGLISH,1,STARS,09-12,2,51,GEN ED,M509,Marta Valle High School,,-,26,25
21.0,M,English 12,ENGLISH,1,STARS,09-12,3,63,GEN ED,M509,Marta Valle High School,,-,23,20
21.3,M,Integrated Algebra,MATH,1,STARS,09-12,6,128,GEN ED,M509,Marta Valle High School,,-,29,12
19.0,M,Geometry,MATH,1,STARS,09-12,3,57,GEN ED,M509,Marta Valle High School,,-,24,13
24.0,M,Trigonometry,MATH,1,STARS,09-12,2,48,GEN ED,M509,Marta Valle High School,,-,27,21
33.0,M,Earth Science,SCIENCE,1,STARS,09-12,2,66,GEN ED,M509,Marta Valle High School,,-,33,33
29.3,M,Living Environment,SCIENCE,1,STARS,09-12,3,88,GEN ED,M509,Marta Valle High School,,-,33,27
12.0,M,Physics,SCIENCE,1,STARS,09-12,2,24,GEN ED,M509,Marta Valle High School,,-,12,12
29.5,M,Other Science,SCIENCE,1,STARS,09-12,2,59,GEN ED,M509,Marta Valle High School,,-,30,29
22.8,M,Global History & Geography,SOCIAL STUDIES,1,STARS,09-12,6,137,GEN ED,M509,Marta Valle High School,,-,35,14
24.0,M,US History & Government,SOCIAL STUDIES,1,STARS,09-12,2,48,GEN ED,M509,Marta Valle High School,,-,28,20
26.0,M,Economics,SOCIAL STUDIES,1,STARS,09-12,3,78,GEN ED,M509,Marta Valle High School,,-,29,24
33.0,M,Earth Science,SCIENCE,1,STARS,09-12,2,66,CTT,M509,Marta Valle High School,,-,33,33
33.5,M,Living Environment,SCIENCE,1,STARS,09-12,4,134,CTT,M509,Marta Valle High School,,-,34,33
13.0,M,Other Science,SCIENCE,1,STARS,09-12,1,13,CTT,M509,Marta Valle High School,,-,13,13
29.5,M,Global History & Geography,SOCIAL STUDIES,1,STARS,09-12,2,59,CTT,M509,Marta Valle High School,,-,31,28
27.0,M,US History & Government,SOCIAL STUDIES,1,STARS,09-12,1,27,CTT,M509,Marta Valle High School,,-,27,27
6.0,M,English 9,ENGLISH,1,STARS,09-12,1,6,SPEC ED,M509,Marta Valle High School,,-,6,6
8.0,M,English 11,ENGLISH,1,STARS,09-12,1,8,SPEC ED,M509,Marta Valle High School,,-,8,8
7.0,M,Integrated Algebra,MATH,1,STARS,09-12,2,14,SPEC ED,M509,Marta Valle High School,,-,9,5
6.0,M,Geometry,MATH,1,STARS,09-12,1,6,SPEC ED,M509,Marta Valle High School,,-,6,6
8.0,M,Earth Science,SCIENCE,1,STARS,09-12,2,16,SPEC ED,M509,Marta Valle High School,,-,8,8
8.0,M,Other Science,SCIENCE,1,STARS,09-12,1,8,SPEC ED,M509,Marta Valle High School,,-,8,8
8.0,M,Global History & Geography,SOCIAL STUDIES,1,STARS,09-12,1,8,SPEC ED,M509,Marta Valle High School,,-,8,8
6.0,M,US History & Government,SOCIAL STUDIES,1,STARS,09-12,1,6,SPEC ED,M509,Marta Valle High School,,-,6,6
,M,,,1,,,,,,M509,Marta Valle High School,12.2,,,
27.7,M,English 9,ENGLISH,1,STARS,09-12,6,166,GEN ED,M515,Lower East Side Preparatory High School,,-,33,19
25.0,M,English 10,ENGLISH,1,STARS,09-12,10,250,GEN ED,M515,Lower East Side Preparatory High School,,-,31,16
20.8,M,English 11,ENGLISH,1,STARS,09-12,5,104,GEN ED,M515,Lower East Side Preparatory High School,,-,30,10
19.0,M,English 12,ENGLISH,1,STARS,09-12,5,95,GEN ED,M515,Lower East Side Preparatory High School,,-,24,10
21.8,M,Other English,ENGLISH,1,STARS,09-12,4,87,GEN ED,M515,Lower East Side Preparatory High School,,-,34,16
26.7,M,Integrated Algebra,MATH,1,STARS,09-12,7,187,GEN ED,M515,Lower East Side Preparatory High School,,-,33,13
24.3,M,Geometry,MATH,1,STARS,09-12,7,170,GEN ED,M515,Lower East Side Preparatory High School,,-,31,16
22.3,M,Trigonometry,MATH,1,STARS,09-12,3,67,GEN ED,M515,Lower East Side Preparatory High School,,-,26,18
23.0,M,Other Math,MATH,1,STARS,09-12,1,23,GEN ED,M515,Lower East Side Preparatory High School,,-,23,23
21.4,M,Earth Science,SCIENCE,1,STARS,09-12,9,193,GEN ED,M515,Lower East Side Preparatory High School,,-,31,15
19.8,M,Living Environment,SCIENCE,1,STARS,09-12,10,198,GEN ED,M515,Lower East Side Preparatory High School,,-,28,10
13.0,M,Other Science,SCIENCE,1,STARS,09-12,2,26,GEN ED,M515,Lower East Side Preparatory High School,,-,14,12
27.9,M,Global History & Geography,SOCIAL STUDIES,1,STARS,09-12,10,279,GEN ED,M515,Lower East Side Preparatory High School,,-,33,21
28.0,M,US History & Government,SOCIAL STUDIES,1,STARS,09-12,6,168,GEN ED,M515,Lower East Side Preparatory High School,,-,32,19
