battery	6	(7,4,9,6,3,5)
130	6	(2,4,1,7,5,6)
at	6	(5,3,6,9,7,4)
270	6	(4,6,9,1,2,5)
161	6	(4,5,2,6,9,1)
york	6	(7,3,6,4,5,9)
122	6	(4,1,7,2,5,9)
138	6	(4,6,5,1,7,2)
174	6	(4,9,1,7,2,5)
63	6	(7,4,1,5,2,9)
93	6	(1,4,7,8,2,9)
84	6	(1,4,7,2,9,5)
73	6	(1,4,6,5,2,7)
66	6	(1,4,2,7,5,9)
96	6	(4,1,2,9,7,5)
e.	6	(2,6,9,7,4,5)
91	6	(7,1,4,2,5,9)
103	5	(4,1,5,6,7)
155	5	(4,9,5,1,7)
131	5	(2,4,9,1,6)
company	5	(6,4,7,5,3)
61	5	(1,4,2,5,6)
124	5	(7,2,4,1,5)
main	5	(3,9,6,5,4)
spring	5	(5,4,7,3,9)
253	5	(5,4,9,1,2)
park	5	(7,4,9,5,6)
199	5	(4,1,5,7,2)
94	5	(4,1,5,7,2)
105	5	(4,1,7,6,9)
academy	5	(2,6,9,7,4)
218	5	(6,5,9,1,4)
149	5	(4,2,1,5,9)
166	5	(4,5,2,1,7)
225	5	(4,7,6,5,1)
tompkins	5	(2,9,4,5,6)
200	5	(4,6,5,7,1)
office	5	(4,7,3,6,9)
hill	5	(4,2,9,6,5)
261	5	(5,9,1,4,2)
place	5	(7,5,6,4,9)
n	5	(4,7,5,6,9)
north	5	(4,6,5,9,3)
building	5	(3,6,4,5,9)
bin	5	(3,6,5,7,4)
market	5	(4,5,3,9,7)
dog	5	(3,9,7,5,4)
front	5	(9,4,6,3,7)
126	5	(2,1,7,4,5)
169	5	(4,1,6,5,2)
washington	5	(9,4,5,6,7)
212	5	(4,2,5,1,7)
one	5	(4,3,5,9,7)
south	5	(4,5,6,9,7)
109	5	(1,4,6,7,5)
58	5	(1,4,6,2,5)
170	5	(4,1,7,5,2)
97	5	(4,1,2,9,7)
193	5	(1,4,5,9,2)
all	5	(1,5,3,7,9)
health	5	(3,4,7,6,5)
brown	5	(6,3,5,7,4)
east	5	(4,2,5,6,9)
144	5	(4,6,7,1,5)
83	5	(4,1,7,2,5)
school	5	(2,4,6,3,5)
shop	5	(7,5,6,4,9)
346	5	(4,5,9,6,1)
university	5	(2,9,5,7,6)
murray	5	(4,2,7,9,5)
153	5	(4,6,1,2,5)
143	5	(4,1,7,9,5)
70	5	(4,1,7,6,2)
280	5	(4,6,5,9,1)
180	5	(4,6,1,7,9)
700	5	(1,6,4,5,9)
b	5	(5,4,9,6,2)
147	5	(4,6,1,7,9)
74	5	(1,4,7,2,5)
110	5	(4,7,2,5,1)
fulton	5	(7,5,4,9,6)
64	5	(7,1,4,2,5)
241	5	(4,7,5,2,1)
gold	5	(7,6,5,4,9)
house	5	(3,5,4,7,9)
is	5	(3,5,4,6,9)
fish	5	(5,9,4,7,3)
98	5	(4,1,2,7,5)
164	5	(4,7,1,9,2)
roosevelt	5	(2,4,5,6,9)
brooklyn	5	(5,9,6,3,4)
259	5	(4,6,1,2,9)
square	5	(4,9,7,2,5)
4th	5	(7,5,6,4,9)
science	5	(2,6,4,5,9)
plaza	5	(7,4,6,9,5)
home	5	(3,5,7,4,9)
107	5	(4,1,5,7,9)
station	5	(4,5,7,9,6)
175	5	(4,7,1,2,9)
ny	5	(7,6,4,5,3)
bronx	5	(9,5,6,3,4)
broadway	5	(7,5,4,9,6)
lane	5	(7,4,3,5,9)
metropolitan	5	(3,6,5,4,9)
140	5	(2,4,7,1,5)
greenwich	5	(4,7,2,9,5)
avenue	5	(5,4,6,9,3)
132	5	(4,1,7,5,9)
68	5	(1,7,4,2,5)
garden	5	(4,9,5,7,6)
elizabeth	4	(8,5,9,4)
104	4	(4,2,1,7)
early	4	(2,4,3,5)
02	4	(5,2,6,4)
non	4	(5,8,3,4)
soho	4	(7,4,9,5)
177	4	(4,5,9,1)
adult	4	(4,7,5,3)
black	4	(8,3,5,7)
first	4	(5,4,6,7)
123	4	(1,7,4,5)
village	4	(4,2,5,9)
455	4	(4,6,5,9)
m	4	(2,5,7,4)
136	4	(4,1,6,7)
thompson	4	(9,4,6,5)
183	4	(2,4,1,7)
by	4	(5,3,7,4)
e	4	(9,5,4,6)
waste	4	(6,4,3,5)
little	4	(5,7,4,9)
235	4	(4,1,6,5)
centre	4	(9,6,4,5)
catherine	4	(8,4,5,9)
hamilton	4	(9,6,5,4)
history	4	(2,6,3,4)
garage	4	(4,6,9,7)
oriental	4	(6,5,9,7)
address	4	(3,6,9,4)
blue	4	(7,4,3,5)
old	4	(4,6,5,3)
charles	4	(6,5,9,7)
bay	4	(4,9,5,6)
louis	4	(6,5,7,4)
444	4	(4,6,5,9)
church	4	(7,5,4,9)
facility	4	(5,4,6,3)
1300	4	(6,4,5,7)
w	4	(5,9,6,4)
brothers	4	(6,5,7,4)
levy	4	(2,9,6,4)
side	4	(4,2,3,9)
columbus	4	(5,9,4,6)
hotel	4	(5,7,4,6)
essex	4	(4,5,9,7)
5th	4	(6,9,5,4)
156	4	(4,1,2,5)
p.s.	4	(2,6,9,4)
harlem	4	(4,6,9,5)
club	4	(3,7,5,9)
233	4	(5,7,1,4)
613	4	(4,9,5,1)
127	4	(4,1,2,7)
186	4	(4,1,5,2)
hudson	4	(4,9,6,5)
206	4	(4,6,5,1)
not	4	(5,3,4,6)
266	4	(5,4,6,1)
river	4	(9,4,6,2)
natural	4	(5,9,4,6)
650	4	(1,4,5,6)
division	4	(3,6,4,5)
supply	4	(4,5,7,3)
292	4	(4,6,5,1)
300	4	(4,1,5,7)
concourse	4	(6,9,5,7)
182	4	(4,1,7,5)
white	4	(5,6,4,9)
kelly	4	(8,9,5,4)
312	4	(6,4,5,1)
195	4	(4,1,5,7)
f	4	(7,5,4,6)
fashion	4	(4,7,6,9)
county	4	(6,9,5,4)
hall	4	(9,6,4,5)
205	4	(4,1,6,7)
or	4	(5,3,4,6)
87	4	(1,4,2,7)
178	4	(4,5,6,1)
210	4	(4,5,1,6)
191	4	(1,4,6,5)
metro	4	(3,5,4,7)
242	4	(5,1,4,9)
320	4	(4,5,1,2)
columbia	4	(6,4,5,9)
recreation	4	(9,6,4,3)
webster	4	(6,5,9,4)
us	4	(2,7,4,5)
st.	4	(9,6,4,5)
family	4	(4,3,6,9)
clarkson	4	(4,6,5,9)
central	4	(4,5,6,9)
c	4	(5,4,7,6)
bridge	4	(4,9,7,3)
beekman	4	(2,7,4,9)
240	4	(4,5,6,1)
f.	4	(5,2,3,4)
blvd	4	(5,6,9,4)
237	4	(4,1,2,5)
128	4	(4,1,7,2)
co.	4	(5,7,4,6)
154	4	(4,2,6,1)
john's	4	(5,9,7,6)
bellevue	4	(4,6,5,9)
139	4	(1,4,7,5)
terrace	4	(7,4,9,6)
s	4	(5,7,9,6)
may	4	(5,6,3,4)
160	4	(7,4,1,5)
1st	4	(6,5,7,4)
82	4	(1,4,7,5)
middle	4	(2,6,5,7)
repair	4	(7,6,3,4)
smith	4	(2,5,4,9)
thomas	4	(9,4,6,7)
beach	4	(9,6,5,4)
188	4	(2,4,1,5)
green	4	(4,3,9,7)
department	4	(3,7,4,5)
social	4	(2,3,4,6)
queens	4	(5,9,6,3)
216	4	(4,6,5,1)
agency	4	(3,4,7,5)
315	4	(4,5,9,1)
athletic	4	(7,9,4,5)
long	4	(4,6,3,5)
bushwick	4	(6,5,9,4)
beaver	4	(7,4,6,5)
246	4	(4,1,6,5)
nyc	4	(3,7,4,5)
